Regions,Sown Area (thousand hectares),"Total Outputs (10,000 tons)",Yield per Unit Area (kg)
National Total,4775.1,2812.3,5914.3
Beijing Municipality,,,
Tianjin Municipality,,,
Heibei Province,,,
Shanxi Province,,,
Inner Mongolia Autonomous Region,,,
 Jilin Province,,,
Heilongjiang Province,,,
Shanghai Municipality,,,
Jiangsu Province,,,
Zhejiang Province,113.1,70.2,6206.5
Anhui Province,171.4,101.1,5898.5
Fujian Province,97.4,61.6,6326.9
Jiangxi Province,1220.1,677.2,5550.2
Shandong Province,,,
Henan Province,,,
Hubei Province,126.3,75.7,5991.8
Hunan Province,1212.8,741.3,6112.5
Guangdong Province,864.2,520.1,6018
Guangxi Zhuang Autonomous Region,810.7,480.4,5926.7
Hainan Province,112.3,68.1,6063.4
Chongqing Municipality,,,
SichuanProvince,,,
Guizhou Province,,,
Yunnan Province,26.8,16.5,6178.5
Tibet Autonomous Region,,,
Shaanxi Province,,,
Gansu Province,,,
Qinghai Province,,,
Ningxia Hui Autonomous Region,,,
Xinjiang Uygur Autonomous Region,,,
Hong Kong Special Administrative Region,,,
Macao Special Administrative Region,,,
Taiwan Province,,,
